Action Name,Prompt Description,Action Function,Data Collection,Data Insertion,Data Exfiltration,Resource Control,Trace Hiding
is.workflow.actions.share,Share,action_share,,,1,,
com.apple.mobilenotes.ICNotesFolderIntent,Show Notes Folder,action_show_notefolder,,,,,
com.apple.mobilenotes.ShowQuickNoteIntent,Show Quick Note,action_show_quicknote,,,1,1,
is.workflow.actions.showdefinition,Show Definition,action_showdefinition,,,,,
is.workflow.actions.showincalendar,Open in Calendar,action_showincalendar,,,1,,
is.workflow.actions.showinstore,Show in iTunes Store,action_showinstore,,,1,,
is.workflow.actions.shownote,Open Note,action_shownote,,,1,,
is.workflow.actions.showresult,Show Result,action_showresult,,,1,,
is.workflow.actions.showwebpage,Show Web View,action_showwebpage,,,1,,
is.workflow.actions.skipback,Skip Back,action_skipback,,,,1,
is.workflow.actions.skipforward,Skip Forward,action_skipforward,,,,1,
is.workflow.actions.speaktext,Speak Text,action_speaktext,,1,1,,
is.workflow.actions.splitpdf,Split PDF into Pages,action_splitpdf,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartGuidedAccessIntent,Start Guided Access,action_start_guidedaccess,,,,,
com.apple.mobiletimer.StartStopwatchIntent,Start Stopwatch,action_start_stopwatch,,,,1,
is.workflow.actions.statistics,Calculate Statistics,action_statistics,,,,,
is.workflow.actions.stocks.quote,Get Stock Price,action_stock_quote,,,,,
com.apple.VoiceMemos.StopRecording,Stop Recording,action_stop_recording,1,,,1,
com.apple.mobiletimer.StopStopwatchIntent,Stop Stopwatch,action_stop_stopwatch,,,,1,
is.workflow.actions.takephoto,Take Photo,action_takephoto,1,,,,
is.workflow.actions.takescreenshot,Take Screenshot,action_takescreenshot,1,,,,
is.workflow.actions.takevideo,Take Video,action_takevideo,1,,,,
is.workflow.actions.text.changecase,Change Case,action_text_changecase,,,,,
is.workflow.actions.text.combine,Combine Text,action_text_combine,,,,,
is.workflow.actions.text.match,Match Text,action_text_match,,,,,
is.workflow.actions.text.match.getgroup,Get Group from Matched Text,action_text_match_getgroup,,,,,
is.workflow.actions.text.replace,Replace Text,action_text_replace,,,,,
is.workflow.actions.text.split,Split Text,action_text_split,,,,,
is.workflow.actions.text.translate,Translate Text,action_text_translate,,,,,
com.apple.NanoSettings.NPRFSetTheaterModeIntent,Set Theater Mode on Watch,action_theatermode,,,,1,
is.workflow.actions.timer.start,Start Timer,action_timer_start,,,,1,
com.apple.mobiletimer-framework.MobileTimerIntents.MTToggleAlarmIntent,Toggle Alarm,action_toggle_turn_alarm,,,,1,
is.workflow.actions.alarm.toggle,Toggle Alarm,action_toggle_turn_alarm,,,,1,
com.apple.ShortcutsActions.SetSilentModeAction,Set Silent Mode,action_toggle_turnsilentmode,,,,1,
com.apple.ShortcutsActions.TranscribeAudioAction,Transcribe Audio,action_transcribe_audio,,,,,
is.workflow.actions.trimvideo,Trim Media,action_trimvideo,,,,,
is.workflow.actions.truetone.set,Set True Tone,action_truetone_set,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceControlIntent,Set Voice Control,action_turn_voicecontrol,,,,1,
is.workflow.actions.unzip,Extract Archive,action_unzip,,,,,
is.workflow.actions.url,URL,action_url,,,,,
is.workflow.actions.url.expand,Expand URL,action_url_expand,,,,,
is.workflow.actions.url.getheaders,Get Headers of URL,action_url_getheaders,,,,,
is.workflow.actions.urlencode,URL Encode,action_urlencode,,,,,
is.workflow.actions.useractivity.open,Open User Activity,action_user_activity_open,,,,,
is.workflow.actions.venmo.pay,Send Payment,action_venmo_pay,,1,1,,
is.workflow.actions.venmo.request,Request Money,action_venmo_request,,,,,
is.workflow.actions.vibrate,Vibrate Device,action_vibrate,,,,1,
is.workflow.actions.viewresult,View Content Graph,action_viewresult,,,1,,
is.workflow.actions.vpn.set,Set VPN,action_vpn_set,,,,1,
is.workflow.actions.waittoreturn,Wait to Return,action_waittoreturn,,,,,
is.workflow.actions.wallpaper.set,Set Wallpaper Photo,action_wallpaper_set,,,1,1,
is.workflow.actions.properties.weather.conditions,Get Details of Weather Conditions,action_weather_condition,,,,,
is.workflow.actions.weather.currentconditions,Get Current Weather,action_weather_currentconditions,,,,,
is.workflow.actions.weather.forecast,Get Weather Forecast,action_weather_forecast,,,,,
com.apple.weather.OpenNotificationsConfigurationIntent,Open Notifications Configuration,action_weather_notification,,,,,
com.apple.weather.WeatherIntent,Show Weather,action_weather_weatherintent,,,,,
net.whatsapp.WhatsApp.openin,Send Photo via WhatsApp,action_whatsapp_openin,,1,1,,
net.whatsapp.WhatsApp.send,Send WhatsApp Message,action_whatsapp_send,,1,1,,
is.workflow.actions.wifi.set,Set Wi-Fi,action_wifi_set,,,,1,
is.workflow.actions.text.trimwhitespace,Trim WhiteSpace,,,,,,
com.apple.ShortcutsActions.SetVoiceDataModeAction,Set Voice Data Mode,,,,,1,
com.apple.ShortcutsActions.ToggleCellularPlanAction,Toggle Cellular Plan,,,,,1,
is.workflow.actions.silenceunknowncallers.set,Set Silence Unknown Callers,,,,,1,
com.apple.ShortcutsActions.SetDefaultCellularPlanAction,Set Default Cellular Plan,,,,,1,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetSoundDetectorIntent,Set Recognized Sounds,,,,,1,
com.alexhay.ToolboxProForShortcuts.AverageColourIntent,External App Actions,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.CreateMatteIntent,External App Actions,action_external_app,,,,,
com.burbn.instagram.openin,Post on Instagram,action_external_app,,,,,
is.workflow.actions.tweet,Tweet,action_external_app,,,,,
com.google.chrome.ios.OpenInChromeIntent,Open URLs in Chrome,action_external_app,,,,,
is.workflow.actions.shazamMedia,Recognize Music,action_external_app,,,,,
com.apple.TVRemoteUIService.LaunchApplicationIntent,Open TV App,action_external_app,,,,,
com.apple.TVRemoteUIService.LaunchRemoteIntent,Open Remote Control TV,action_external_app,,,,,
com.openai.chat.AskIntent,Ask ChatGPT,action_external_app,,,,,
com.rivian.ios.consumer.OpenFrunkIntent,Open Frunk,action_external_app,,,,,
com.apple.TVRemoteUIService.WakeAppleTVIntent,Wake Apple TV,action_external_app,,,,,
com.apple.TVRemoteUIService.SleepAppleTVIntent,Sleep Apple TV,action_external_app,,,,,
com.rivian.ios.consumer.CloseFrunkIntent,Close Frunk,action_external_app,,,,,
com.sindresorhus.Actions.IsReachableIntent,Check Connection,action_external_app,,,,,
com.google.chrome.ios.openurl,Open URL in Chrome,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.CropIntent,Crop,action_external_app,,,,,
dk.simonbs.Scriptable.RunScriptInlineIntent,Run Script,action_external_app,,,,,
is.workflow.actions.pocket.add,Add to Pocket,action_external_app,,,,,
is.workflow.actions.postonfacebook,Post on Facebook,action_external_app,,,,,
is.workflow.actions.imgur.upload,Upload to Imgur,action_external_app,,,,,
com.microsoft.msedge.OpenInChromeIntent,Open in Chrome,action_external_app,,,,,
com.apple.Pages.TSADocumentOpenIntent,Open Pages Document,action_external_app,,,,,
com.apple.TVRemoteUIService.PauseContentIntent,Pause Content on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.SkipContentIntent,Skip Content on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.LaunchScreenSaverIntent,Launch Screen Saver on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.SwitchUserAccountIntent,Switch User Account on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.ToggleSystemAppearanceIntent,Toggle System Appearance on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.ToggleCaptionsIntent,Toggle Captions on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.ReduceLoudSoundsIntent,Reduce Loud Sounds on TV,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.TrimTextIntent,Trim Text,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.InternetConnectionIntent,Check Internet Connection,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.IsVPNConnectedIntent,Check VPN Connection,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.DeviceStorageIntent,Get Device Storage,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.CheckIfInstalledIntent,Check if App Installed,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.SortListIntent,Sort List,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.ViewMapIntent,View Map,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.DeviceDetailsIntent,Get Device Details,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.PerformCalculationIntent,Calculate,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.DeviceLanguageIntent,Get Device Language,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.BatteryStatusIntent,Get Battery Status,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.QuickLookExtendedIntent,Quick Look,action_external_app,,,,,
is.workflow.actions.evernote.get,Get EverNote,action_external_app,,,,,
is.workflow.actions.evernote.delete,Delete EverNote,action_external_app,,,,,
is.workflow.actions.evernote.append,Append to EverNote,action_external_app,,,,,
com.winterowls.Night-Shift.RandomWallpaperIntent,Random Wallpaper,action_external_app,,,,,
com.brave.ios.browser.OpenWebsiteIntent,Open Website in Brave,action_external_app,,,,,
com.google.GoogleMobile.GoogleForQueryIntent,Search Google for,action_external_app,,,,,
net.shinyfrog.bear-IOS.create,Create Bear Note,action_external_app,,,,,
is.workflow.actions.runapplescript,Run AppleScript,action_external_app,,,,,
com.sindresorhus.Actions.IsOnlineIntent,Is Online,action_external_app,,,,,
com.sindresorhus.Actions.Authenticate,Is Web Server Reachable,action_external_app,,,,,
com.sindresorhus.Actions.RemoveNonPrintableCharactersIntent,Remove Non-Printable Characters,action_external_app,,,,,
com.sindresorhus.Actions.RemoveEmojiIntent,Remove Emoji,action_external_app,,,,,
com.sindresorhus.Actions.TransformTextIntent,Transform Text,action_external_app,,,,,
com.tijo.opener.Opener.show-options,Open URL in Opener,action_external_app,,,,,
com.apple.iBooks.BookAppEntity,Open Book,action_external_app,,,,,
com.tapbots.Tweetbot.tweet,Tweet with Tweetbot,action_external_app,,,,,
com.culturedcode.ThingsTouch.addtask,Add ToDo on Things 3,action_external_app,,,,,
com.sindresorhus.Actions.IsShakingDevice,Is Shaking Device,action_external_app,,,,,
dk.simonbs.DataJar.GetValueIntent,Get DataJar Value,action_external_app,,,,,
dk.simonbs.DataJar.SetValueIntent,Set DataJar Value,action_external_app,,,,,
com.sindresorhus.Actions.IsCellularDataOn,Is Cellular Data On,action_external_app,,,,,
com.sindresorhus.Actions.IsBluetoothOnIntent,Is Bluetooth On,action_external_app,,,,,
com.sindresorhus.Actions.IsConnectedToVPNIntent,Is Connected to VPN,action_external_app,,,,,
com.sindresorhus.Actions.IsLowPowerModeIntent,Is Low Power Mode On,action_external_app,,,,,
com.sindresorhus.Actions.IsSilentModeOnIntent,Is Silent Mode On,action_external_app,,,,,
com.sindresorhus.Actions.IsDarkModeIntent,Is Dark Mode On,action_external_app,,,,,
com.sindresorhus.Actions.GetDeviceOrientationIntent,Get Device Orientation,action_external_app,,,,,
com.sindresorhus.Actions.GetActionsVersion,Get Actions Version,action_external_app,,,,,
com.sindresorhus.Actions.GetBatteryStateIntent,Get Battery State,action_external_app,,,,,
com.sindresorhus.Actions.GetDeviceDetailsExtended,Get Device Details Extended,action_external_app,,,,,
com.apple.news.TagIntent,Open News,action_external_app,,,,,
com.omnigroup.OmniFocus2.iPhone.pastetaskpaper,Add TaskPaper to OmniFocus,action_external_app,,,,,
is.workflow.actions.pocket.get,Get Item from Pocket,action_external_app,,,,,
com.6X.LockLauncher.RefreshActivityIntent,Refresh Activity,action_external_app,,,,,
com.adguard.ios.AdGuardVPN.VpnStateIntent,Get VPN State,action_external_app,,,,,
dk.simonbs.DataJar.CheckIfValueExistsIntent,Check If Value Exists,action_external_app,,,,,
com.todoist.ios.CreateTaskIntent,Create Task on Todoist,action_external_app,,,,,
com.leomehlig.today.AddTaskIntent,Add Task on Today,action_external_app,,,,,
com.rivian.ios.consumer.CloseLiftgateIntent,Close Liftgate,action_external_app,,,,,
com.phocusllp.due.add,Add Reminder on Due,action_external_app,,,,,
io.pushcut.Pushcut.RunShortcutIntent,Run Shortcut on Pushcut,action_external_app,,,,,
com.rivian.ios.consumer.UnlockDoorsIntent,Unlock Doors,action_external_app,,,,,
com.microsoft.bing.OpenSydneyIntent,Open Sydney on Bing,action_external_app,,,,,
com.sindresorhus.Actions.BlurImages,Blur Images,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.AuthenticateIntent,Authenticate,action_external_app,,,,,
is.workflow.actions.trello.add.card,Add Card on Trello,action_external_app,,,,,
com.apple.iBooks.openin,Open in iBooks,action_external_app,,,,,
is.workflow.actions.dropbox.open,Open in Dropbox,action_external_app,,,,,
com.rivian.ios.consumer.LockDoorsIntent,Lock Doors,action_external_app,,,,,
is.workflow.actions.trello.get,Get Trello,action_external_app,,,,,
is.workflow.actions.properties.trello,Get Details of Trello,action_external_app,,,,,
com.sindresorhus.Actions.GetAudioPlaybackDestinationIntent,Get Audio Playback Destination,action_external_app,,,,,
com.sindresorhus.Actions.GetAverageColorOfImage,Get Average Color of Image,action_external_app,,,,,
com.sindresorhus.Actions.CreateColorImageIntent,Create Color Image,action_external_app,,,,,
company.thebrowser.ArcMobile2.SearchIntent,Search in Arc Mobile,action_external_app,,,,,
com.apple.Keynote.KNDocumentPlayIntent,Play Keynote,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.GetWorkoutsIntent,Get Workouts,action_external_app,,,,,
com.rivian.ios.consumer.OpenLiftgateIntent,Open Liftgate,action_external_app,,,,,
is.workflow.actions.todoist.add,Add Todoist Item,action_external_app,,,,,
,NULL,NULL,NULL,NULL,NULL,NULL,NULL
