Action Name,Prompt Description,Action Function,Data Collection,Data Insertion,Data Exfiltration,Resource Control,Trace Hiding
com.apple.reminders.TTRSearchRemindersAppIntent,Search Reminders,action_search_inreminder,,,,,
com.alexhay.ToolboxProForShortcuts.CreateMatteIntent,External App Actions,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.AverageColourIntent,External App Actions,action_external_app,,,,,
com.apple.VoiceMemos.RecordVoiceMemoIntent,Create Recoding,action_create_recording,1.0,,,,
is.workflow.actions.sirikit.donation.handle,Create Recording,action_create_recording,1.0,,,,
com.apple.VoiceMemos.PlaybackVoiceMemoIntent,Play Recording,action_play_recording,,,,1.0,
com.apple.VoiceMemos.ChangeRecordingPlaybackSetting,Change Recording Playback Setting,action_change_setting_recording,,,,1.0,
com.apple.VoiceMemos.SelectRecording,Select Recording,action_select_recording,1.0,,,,
com.apple.VoiceMemos.StopRecording,Stop Recording,action_stop_recording,1.0,,,1.0,
com.apple.VoiceMemos.DeleteRecording,Delete Recording,action_delete_recording,,,,1.0,
is.workflow.actions.selectcontacts,Select Contact,action_selectcontacts,1.0,,,,
is.workflow.actions.selectphone,Select Phone Number,action_selectphone,1.0,,,,
is.workflow.actions.contacts,Contacts,action_contacts,,,,,
is.workflow.actions.filter.contacts,Find Contacts,action_filter_contacts,1.0,,,,
is.workflow.actions.detect.phonenumber,Get Phone Number from Input,action_detect_phonenumber,,,,,
com.burbn.instagram.openin,Post on Instagram,action_external_app,,,,,
is.workflow.actions.tweet,Tweet,action_external_app,,,,,
com.google.chrome.ios.OpenInChromeIntent,Open URLs in Chrome,action_external_app,,,,,
is.workflow.actions.shazamMedia,Recognize Music,action_external_app,,,,,
com.apple.TVRemoteUIService.LaunchApplicationIntent,Open TV App,action_external_app,,,,,
com.apple.TVRemoteUIService.LaunchRemoteIntent,Open Remote Control TV,action_external_app,,,,,
is.workflow.actions.alarm.create,Create Alarm,action_create_alarm,,,,1.0,
is.workflow.actions.alarm.toggle,Toggle Alarm,action_toggle_turn_alarm,,,,1.0,
com.openai.chat.AskIntent,Ask ChatGPT,action_external_app,,,,,
is.workflow.actions.detect.contacts,Get Contacts from Input,action_detect_contacts,,,,,
is.workflow.actions.getarticle,Get Article,action_getarticle,,,,,
com.rivian.ios.consumer.OpenFrunkIntent,Open Frunk,action_external_app,,,,,
com.apple.mobilesafari.CloseTab,Close Safari Tab,action_safari_closetab,,,,1.0,
com.apple.TVRemoteUIService.WakeAppleTVIntent,Wake Apple TV,action_external_app,,,,,
com.apple.TVRemoteUIService.SleepAppleTVIntent,Sleep Apple TV,action_external_app,,,,,
com.rivian.ios.consumer.CloseFrunkIntent,Close Frunk,action_external_app,,,,,
is.workflow.actions.openworkflow,Open Shortcut,action_openworkflow,,,,1.0,
is.workflow.actions.photos.createalbum,Create Album,action_photo_createalbum,,,,1.0,
is.workflow.actions.gettypeaction,Get Item Type,action_gettypeaction,,,,,
com.sindresorhus.Actions.IsReachableIntent,Check Connection,action_external_app,,,,,
com.google.chrome.ios.openurl,Open URL in Chrome,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.CropIntent,Crop,action_external_app,,,,,
dk.simonbs.Scriptable.RunScriptInlineIntent,Run Script,action_external_app,,,,,
is.workflow.actions.properties.contacts,Get Details of Contact,action_properties_contacts,,,,,
is.workflow.actions.pocket.add,Add to Pocket,action_external_app,,,,,
is.workflow.actions.folder,Folder,action_file,,,,,
is.workflow.actions.phonenumber,Phone Number,action_phonenumber,,,,,
is.workflow.actions.postonfacebook,Post on Facebook,action_external_app,,,,,
is.workflow.actions.imgur.upload,Upload to Imgur,action_external_app,,,,,
com.microsoft.msedge.OpenInChromeIntent,Open in Chrome,action_external_app,,,,,
com.apple.Pages.TSADocumentOpenIntent,Open Pages Document,action_external_app,,,,,
com.apple.TVRemoteUIService.PauseContentIntent,Pause Content on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.SkipContentIntent,Skip Content on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.LaunchScreenSaverIntent,Launch Screen Saver on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.SwitchUserAccountIntent,Switch User Account on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.ToggleSystemAppearanceIntent,Toggle System Appearance on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.ToggleCaptionsIntent,Toggle Captions on TV,action_external_app,,,,,
com.apple.TVRemoteUIService.ReduceLoudSoundsIntent,Reduce Loud Sounds on TV,action_external_app,,,,,
is.workflow.actions.searchitunes,Find iTunes Store Items,action_searchitunes,,,,,
is.workflow.actions.properties.itunesstore,Get Details of iTunes Store Item,action_properties_itunes,,,,,
is.workflow.actions.showinstore,Show in iTunes Store,action_showinstore,,,1.0,,
com.apple.shortcuts.SearchShortcutsAction,Search in Shortcuts,action_search_shortcut,,,,,
com.alexhay.ToolboxProForShortcuts.TrimTextIntent,Trim Text,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.InternetConnectionIntent,Check Internet Connection,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.IsVPNConnectedIntent,Check VPN Connection,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.DeviceStorageIntent,Get Device Storage,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.CheckIfInstalledIntent,Check if App Installed,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.SortListIntent,Sort List,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.ViewMapIntent,View Map,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.DeviceDetailsIntent,Get Device Details,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.PerformCalculationIntent,Calculate,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.DeviceLanguageIntent,Get Device Language,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.BatteryStatusIntent,Get Battery Status,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.QuickLookExtendedIntent,Quick Look,action_external_app,,,,,
com.apple.shortcuts.DeleteWorkflowAction,Delete Shortcut,action_deleteworkflow,,,,1.0,
com.apple.shortcuts.CreateWorkflowAction,Create Shortcut,action_create_shortcut,,1.0,,,
is.workflow.actions.evernote.get,Get EverNote,action_external_app,,,,,
is.workflow.actions.evernote.delete,Delete EverNote,action_external_app,,,,,
is.workflow.actions.evernote.append,Append to EverNote,action_external_app,,,,,
com.winterowls.Night-Shift.RandomWallpaperIntent,Random Wallpaper,action_external_app,,,,,
com.apple.ShortcutsActions.SetSilentModeAction,Set Silent Mode,action_toggle_turnsilentmode,,,,1.0,
com.apple.musicrecognition.RecognizeMusicIntent,Recognize Music,action_recognize_music,,,,,
com.brave.ios.browser.OpenWebsiteIntent,Open Website in Brave,action_external_app,,,,,
com.google.GoogleMobile.GoogleForQueryIntent,Search Google for,action_external_app,,,,,
is.workflow.actions.dismisssiri,Dismiss Siri and Continue,action_dismisssiri,,,,"",
net.shinyfrog.bear-IOS.create,Create Note on Shinyfrog,action_external_app,,,,,
is.workflow.actions.runapplescript,Run AppleScript,action_external_app,,,,,
com.apple.DocumentsApp.SearchFile,Search in Files,action_searchfile,,,,,
com.apple.mobilesafari.TabEntity,Find Tabs,action_filter_tab,1.0,,,,
com.sindresorhus.Actions.IsOnlineIntent,Is Online,action_external_app,,,,,
com.sindresorhus.Actions.Authenticate,Is Web Server Reachable,action_external_app,,,,,
com.sindresorhus.Actions.RemoveNonPrintableCharactersIntent,Remove Non-Printable Characters,action_external_app,,,,,
com.sindresorhus.Actions.RemoveEmojiIntent,Remove Emoji,action_external_app,,,,,
com.sindresorhus.Actions.TransformTextIntent,Transform Text,action_external_app,,,,,
is.workflow.actions.workout.start,Start Workout,action_health_workout_log,,,,,
is.workflow.actions.stocks.quote,Get Stock Price,action_stock_quote,,,,,
com.tijo.opener.Opener.show-options,Open URL in Opener,action_external_app,,,,,
com.apple.iBooks.BookAppEntity,Open Book,action_external_app,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleZoomIntent,Set Zoom,action_setting_zoom,,,,1.0,
com.tapbots.Tweetbot.tweet,Tweet with Tweetbot,action_external_app,,,,,
com.culturedcode.ThingsTouch.addtask,Add ToDo on Things 3,action_external_app,,,,,
dk.simonbs.DataJar.GetValueIntent,Get DataJar Value,action_external_app,,,,,
dk.simonbs.DataJar.SetValueIntent,Set DataJar Value,action_external_app,,,,,
com.sindresorhus.Actions.IsCellularDataOn,Is Cellular Data On,action_external_app,,,,,
com.sindresorhus.Actions.IsBluetoothOnIntent,Is Bluetooth On,action_external_app,,,,,
com.sindresorhus.Actions.IsConnectedToVPNIntent,Is Connected to VPN,action_external_app,,,,,
com.sindresorhus.Actions.IsLowPowerModeIntent,Is Low Power Mode On,action_external_app,,,,,
com.sindresorhus.Actions.IsSilentModeOnIntent,Is Silent Mode On,action_external_app,,,,,
com.sindresorhus.Actions.IsDarkModeIntent,Is Dark Mode On,action_external_app,,,,,
com.sindresorhus.Actions.GetDeviceOrientationIntent,Get Device Orientation,action_external_app,,,,,
com.sindresorhus.Actions.GetActionsVersion,Get Actions Version,action_external_app,,,,,
com.sindresorhus.Actions.GetBatteryStateIntent,Get Battery State,action_external_app,,,,,
com.sindresorhus.Actions.GetDeviceDetailsExtended,Get Device Details Extended,action_external_app,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleSoundDetectionIntent,Set Sound Detection,action_setting_soundrecognition,,,,1.0,
com.apple.news.TagIntent,Open News,action_external_app,,,,,
com.omnigroup.OmniFocus2.iPhone.pastetaskpaper,Add TaskPaper to OmniFocus,action_external_app,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartGuidedAccessIntent,Start Guided Access,action_start_guidedaccess,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceControlIntent,Set Voice Control,action_turn_voicecontrol,,,,1.0,
com.apple.shortcuts.ResetCellularDataStatisticsAction,Reset Cellular Data Statistics,action_reset_cellulardata_statistics,,,,"",
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleLiveCaptionsIntent,Set Live Captions,action_setting_livecaption,,,,1.0,
is.workflow.actions.pocket.get,Get Item from Pocket,action_external_app,,,,,
com.6X.LockLauncher.RefreshActivityIntent,Refresh Activity,action_external_app,,,,,
com.adguard.ios.AdGuardVPN.VpnStateIntent,Get VPN State,action_external_app,,,,,
dk.simonbs.DataJar.CheckIfValueExistsIntent,Check If Value Exists,action_external_app,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleMonoAudioIntent,Set Mono Audio,action_setting_monoaudio,,,,1.0,
is.workflow.actions.announcenotifications.set,Set Announce Notifications,action_setting_announcenotification,,,,1.0,
com.apple.NanoSettings.NPRFPingMyPhoneIntent,Ping My Phone with lights on Watch,action_pingmyphone,,,,1.0,
com.apple.NanoSettings.NPRFSetFlashLightIntent,Set Flashlight on Watch,action_setflashlight,,,,1.0,
com.apple.NanoSettings.NPRFSetTheaterModeIntent,Set Theater Mode on Watch,action_theatermode,,,,1.0,
com.apple.NanoSettings.NPRFSetWaterLockIntent,Set Water Lock on Watch,action_set_waterlock,,,,1.0,
com.apple.NanoSettings.NPRFSetSchoolTimeIntent,Set School Time on Watch,action_set_schooltime,,,,1.0,
com.todoist.ios.CreateTaskIntent,Create Task on Todoist,action_external_app,,,,,
com.leomehlig.today.AddTaskIntent,Add Task on Today,action_external_app,,,,,
com.rivian.ios.consumer.CloseLiftgateIntent,Close Liftgate,action_external_app,,,,,
com.phocusllp.due.add,Add Reminder on Due,action_external_app,,,,,
io.pushcut.Pushcut.RunShortcutIntent,Run Shortcut on Pushcut,action_external_app,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleVoiceOverIntent,Set VoiceOver,action_setting_voiceover,,,,1.0,
com.rivian.ios.consumer.UnlockDoorsIntent,Unlock Doors,action_external_app,,,,,
com.microsoft.bing.OpenSydneyIntent,Open Sydney on Bing,action_external_app,,,,,
is.workflow.actions.runscene,Run Home Scene,action_health_workout_log,,,,1.0,
com.sindresorhus.Actions.BlurImages,Blur Images,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.AuthenticateIntent,Authenticate,action_external_app,,,,,
is.workflow.actions.trello.add.card,Add Card on Trello,action_external_app,,,,,
is.workflow.actions.personalhotspot.password.set,Set Hotspot Password,action_personalhotspot_password_get,,,,1.0,
com.apple.iBooks.openin,Open in iBooks,action_external_app,,,,,
is.workflow.actions.dropbox.open,Open in Dropbox,action_external_app,,,,,
is.workflow.actions.addnewcontact,Add New Contact,action_add_new_contact,,1.0,,,
is.workflow.actions.setters.contacts,Edit Contact,action_set_contact,,,,"",
com.rivian.ios.consumer.LockDoorsIntent,Lock Doors,action_external_app,,,,,
com.apple.ShortcutsActions.OpenCameraAction,Open Camera Mode,action_open_camera,1.0,,,1.0,
is.workflow.actions.trello.get,Get Trello,action_external_app,,,,,
is.workflow.actions.properties.trello,Get Details of Trello,action_external_app,,,,,
com.sindresorhus.Actions.GetAudioPlaybackDestinationIntent,Get Audio Playback Destination,action_external_app,,,,,
com.sindresorhus.Actions.GetAverageColorOfImage,Get Average Color of Image,action_external_app,,,,,
com.sindresorhus.Actions.CreateColorImageIntent,Create Color Image,action_external_app,,,,,
company.thebrowser.ArcMobile2.SearchIntent,Search in Arc Mobile,action_external_app,,,,,
com.apple.Keynote.KNDocumentPlayIntent,Play Keynote,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.GetWorkoutsIntent,Get Workouts,action_external_app,,,,,
com.rivian.ios.consumer.OpenLiftgateIntent,Open Liftgate,action_external_app,,,,,
is.workflow.actions.todoist.add,Add Todoist Item,action_external_app,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXToggleBackgroundSoundsIntent,Set Background Sounds,action_setting_setbackgroundsound,,,,1.0,
com.sindresorhus.Actions.IsShakingDevice,Is Shaking Device,action_external_app,,,,,
is.workflow.actions.text.trimwhitespace,Trim Whitespace,action_trim,,,,,
com.apple.ShortcutsActions.SetVoiceDataModeAction,Set Voice Data Mode,action_set_voice_data_mode,,,,1.0,
com.apple.ShortcutsActions.ToggleCellularPlanAction,Toggle Cellular Plan,action_toggle_cellular_plan,,,,1.0,
com.alexhay.ToolboxProForShortcuts.GlobalVariablesIntent,Global Variables,action_external_app,,,,,
com.sindresorhus.Actions.IsDeviceLocked,Is Device Locked,action_external_app,,,,,
com.sindresorhus.Actions.WriteTextIntent,Write Text,action_external_app,,,,,
com.apple.shortcuts.OpenWorkflowAction,Open Shortcut,action_openworkflow,,,1.0,1.0,
AsheKube.app.a-Shell.ExecuteCommandIntent,Execute Command in a-Shell,action_external_app,,,,,
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetSoundDetectorIntent,Set Recognized Sounds,action_setting_recognized_sound,,,,1.0,
com.sindresorhus.Actions.WaitMilliseconds,Wait,action_external_app,,,,,
com.sindresorhus.Actions.IsAudioPlayingIntent,Is Audio Playing,action_external_app,,,,,
com.apple.DocumentsApp.ScanDocument,Scan Document,action_scan_doc,,,,,
com.sindresorhus.Actions.ScanDocumentsIntent,Scan Documents through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.GetEmojisIntent,Get Emojis through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.SetUniformTypeIdentifier,Set Uniform Type Identifier,action_external_app,,,,,
com.sindresorhus.Actions.GetUniformTypeIdentifierIntent,Get Uniform Type Identifier,action_external_app,,,,,
com.apple.shortcuts.AddShortcutToHomeScreenAction,Add Shortcut to Home Screen,action_add_workflow_to_screen,,,,1.0,
com.omnigroup.OmniFocus3.iOS.AddTaskIntent,Add Task on OmniFocus 3,action_external_app,,,,,
AsheKube.app.a-Shell-mini.PutFileIntent,Put File in a-Shell Mini,action_external_app,,,,,
AsheKube.app.a-Shell-mini.ExecuteCommandIntent,Execute Command in a-Shell Mini,action_external_app,,,,,
AsheKube.app.a-Shell-mini.GetFileIntent,Get File in a-Shell Mini,action_external_app,,,,,
com.apple.Numbers.TNiOSAddValuesToFormIntent,Add Values to Numbers Form,action_external_app,,,,,
com.brogrammers.charty.AddCustomThemeIntent,Add Custom Theme in Charty,action_external_app,,,,,
dk.simonbs.DataJar.InsertValueInArrayIntent,Insert Value in Array in DataJar,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.HomeIntent,Home in Toolbox Pro,action_external_app,,,,,
com.bloombuilt.dayone-ios.FindEntriesIntent,Find Entries in Day One,action_external_app,,,,,
com.bloombuilt.dayone-ios.AppendToEntryIntent,Append to Entry in Day One,action_external_app,,,,,
is.workflow.actions.dropbox.savefile,Save File in Dropbox,action_external_app,,,,,
com.flexibits.fantastical2.addevent,Add Event in Fantastical 2,action_external_app,,,,,
net.shinyfrog.bear-IOS.add,Add Note in Shinyfrog,action_external_app,,,,,
is.workflow.actions.instapaper.add,Add to Instapaper,action_external_app,,,,,
ai.perplexity.app.QueryPerplexity,Search on Perplexity AI,action_external_app,,,,,
com.apple.Numbers.TNiOSAddValuesToSpreadsheetIntent,Add Values to Numbers Spreadsheet,action_external_app,,,,,
dk.simonbs.DataJar.GetKeysIntent,Get Keys in DataJar,action_external_app,,,,,
dk.simonbs.DataJar.GetTypeOfValueIntent,Get Type of Value in DataJar,action_external_app,,,,,
dk.simonbs.DataJar.ViewValueIntent,View Value in DataJar,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.QuickMenu2Intent,Quick Menu 2 in Toolbox Pro,action_external_app,,,,,
com.bloombuilt.dayone-ios.CreateEntryIntent,Create Entry in Day One,action_external_app,,,,,
com.sindresorhus.Actions.CreateMenuItem,Create Menu Item through Sindresorhus,action_external_app,,,,,
is.workflow.actions.evernote.new,New Evernote,action_external_app,,,,,
com.apple.clock.DeleteAlarmIntent,Delete Alarm,action_delete_alarm,,,,1.0,
com.alexhay.ToolboxProForShortcuts.ReverseListIntent,Reverse List in Toolbox Pro,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.IsPremiumUnlockedIntent,Is Premium Unlocked in Toolbox Pro,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.AddToListIntent,Add to List in Toolbox Pro,action_external_app,,,,,
ke.bou.WidgetPack.ImageFileIntent,Image File in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.ModifierClipShapeIntent,Modifier Clip Shape in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.ModifierScaledToFitIntent,Modifier Scaled to Fit in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.ZStackIntent,ZStack in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.UpdateWidgetIntent,Update Widget in WidgetPack,action_external_app,,,,,
com.alipay.iphoneclient.StartScanIntent,Start Scan in Alipay,action_external_app,,,,,
com.alipay.iphoneclient.StartPayIntent,Start Pay in Alipay,action_external_app,,,,,
is.workflow.actions.getclassaction,Get Object of Class,action_get_object_ofclass,1.0,,,,
com.juniperphoton.MyerList.AddReminderAppIntent,Add Reminder in MyerList,action_external_app,,,,,
com.juniperphoton.MyerList.EndLiveActivityIntent,End Live Activity in MyerList,action_external_app,,,,,
app.surfed.app.OpenURLIntent,Open URL in Surfed,action_external_app,,,,,
com.bloombuilt.dayone-mac.CreateEntryIntent,Create Entry in Day One Mac,action_external_app,,,,,
com.sindresorhus.Actions.GlobalVariableSetNumber,Global Variable Set Number through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.GlobalVariableGetNumber,Global Variable Get Number through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.GetIndexOfListItem,Get Index of List Item through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.HideShortcutsAppIntent,Hide Shortcuts App through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.PrettyPrintDictionariesIntent,Pretty Print Dictionaries through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.AddToListIntent,Add to List through Sindresorhus,action_external_app,,,,,
dk.simonbs.DataJar.DeleteValueIntent,Delete Value in DataJar,action_external_app,,,,,
com.sindresorhus.Actions.DateToUnixTimeIntent,Date to Unix Time through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.RemoveDuplicatesFromListIntent,Remove Duplicates from List through Sindresorhus,action_external_app,,,,,
dk.simonbs.DataJar.GetChildCountIntent,Get Child Count in DataJar,action_external_app,,,,,
com.sindresorhus.Actions.FilterListIntent,Filter List through Sindresorhus,action_external_app,,,,,
ke.bou.WidgetPack.ColorIntent,Color through WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.VerbatimTextIntent,Verbatim Text in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.ModifierFontIntent,Modifier Font in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.HorizontalStackIntent,Horizontal Stack in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.ModifierFixedFrameIntent,Modifier Fixed Frame in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.SpacerIntent,Spacer in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.FontIntent,Font in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.ModifierPaddingIntent,Modifier Padding in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.LinkIntent,Link in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.VerticalStackIntent,Vertical Stack in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.ModifierBackgroundIntent,Modifier Background in WidgetPack,action_external_app,,,,,
ke.bou.WidgetPack.PreviewWidgetIntent,Preview Widget in WidgetPack,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.CreateMenuIntent,Create Menu in Toolbox Pro,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.HapticFeedbackIntent,Haptic Feedback in Toolbox Pro,action_external_app,,,,,
com.apple.NanoSettings.NPRFSetAlwaysOnIntent,Set Watch Always On,action_external_app,,,,,
com.apple.NanoSettings.NPRFSetSilentModeIntent,Set Watch Silent Mode,action_external_app,,,,,
com.apple.PBBridgeSupport.BridgeIntents.COSSetGizmoFaceIntent,Set Watch Face,action_external_app,,,,,
DesignTech-SIA.Spendit.AI_AddTransactionIntent,Add Transaction in Spendit AI,action_external_app,,,,,
DesignTech-SIA.Spendit.AI_ViewAccountIntent,View Account in Spendit AI,action_external_app,,,,,
com.sindresorhus.Actions.GetUnsplashImageIntent,Get Unsplash Image through Sindresorhus,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.BlurImagesIntent,Blur Images in Toolbox Pro,action_external_app,,,,,
com.google.chrome.ios.OpenInChromeIncognitoIntent,Open in Chrome Incognito,action_external_app,,,,,
com.apple.news.TodayIntent,Open News Today,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.IsAudioPlayingIntent,Is Audio Playing in Toolbox Pro,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.CheckForUpdatesIntent,Check for Updates in Toolbox Pro,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.ShowNotificationIntent,Show Notification in Toolbox Pro,action_external_app,,,,,
is.workflow.actions.properties.workflow,Get Details of Workflow,action_properties_appstore,1.0,,,,
com.alexhay.ToolboxProForShortcuts.CheckGVIntent,Check GV in Toolbox Pro,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.GetReminderListsIntent,Get Reminder Lists in Toolbox Pro,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.GetReminderIDIntent,Get Reminder ID in Toolbox Pro,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.EditReminderIntent,Edit Reminder in Toolbox Pro,action_external_app,,,,,
maccatalyst.com.Christopher-Hannah.Text-Case.TextCaseIntent,Text Case in Text Case,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.CreateIconIntent,Create Icon in Toolbox Pro,action_external_app,,,,,
net.shinyfrog.bear-IOS.open,Open on Shinyfrog,action_external_app,,,,,
net.shinyfrog.bear-IOS.contents,Get Contents on Shinyfrog,action_external_app,,,,,
ke.bou.GizmoPack.UniversalVariablesIntent,Universal Variables in GizmoPack,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.ScanDocumentIntent,Scan Document in Toolbox Pro,action_external_app,,,,,
io.pushcut.Pushcut.ShowNotificationIntent,Show Notification in Pushcut,action_external_app,,,,,
com.culturedcode.ThingsiPad.TAIItemEntity,Open Things 3 Item,action_external_app,,,,,
com.culturedcode.ThingsiPad.TAIEditItems,Edit Things 3 Items,action_external_app,,,,,
com.culturedcode.ThingsiPad.TAIAddTodo2,Add ToDo on Things 3,action_external_app,,,,,
com.sindresorhus.Actions.RandomTextIntent,Random Text through Sindresorhus,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.CreateTextImageIntent,Create Text Image in Toolbox Pro,action_external_app,,,,,
com.sindresorhus.Actions.FormatDurationIntent,Format Duration through Sindresorhus,action_external_app,,,,,
com.apple.shortcuts.CreateShortcutiCloudLinkAction,Create iCloud Link,action_create_icloudlink,1.0,,,,
com.brogrammers.charty.NewChartIntent,New Chart in Charty,action_external_app,,,,,
com.brogrammers.charty.AddSeriesToChartIntent,Add Series to Chart in Charty,action_external_app,,,,,
com.brogrammers.charty.CopyChartToClipboardIntent,Copy Chart to Clipboard in Charty,action_external_app,,,,,
org.fastdevsproject.altervista.Device-Monitor.RAMCleanIntent,RAM Clean in Device Monitor,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.EditFolderBookmarksIntent,Edit Folder Bookmarks in Toolbox Pro,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.ListContentsOfBookmarkedFolderIntent,List Contents of Bookmarked Folder in Toolbox Pro,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.EditBookmarkedFileIntent,Edit Bookmarked File in Toolbox Pro,action_external_app,,,,,
com.sindresorhus.Actions.GenerateCSVIntent,Generate CSV through Sindresorhus,action_external_app,,,,,
com.alexhay.ToolboxProForShortcuts.SaveFilesToBookmarkedFoldersIntent,Save Files to Bookmarked Folders in Toolbox Pro,action_external_app,,,,,
com.sindresorhus.Actions.RemoveEmptyLinesIntent,Remove Empty Lines through Sindresorhus,action_external_app,,,,,
app.shortcutify.Shortcutify.SpotifyPlayPauseIntent,Play/Pause Spotify in Shortcutify,action_external_app,,,,,
com.sindresorhus.Actions.GlobalVariableGetText,Global Variable Get Text through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.GlobalVariableSetText,Global Variable Set Text through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.RemoveFromListIntent,Remove from List through Sindresorhus,action_external_app,,,,,
com.sindresorhus.Actions.ScanQRCodesInImageIntent,Scan QR Codes in Image through Sindresorhus,action_external_app,,,,,
com.agiletortoise.Drafts5.QueryDraftsIntent,Query Drafts in Drafts 5,action_external_app,,,,,
com.agiletortoise.Drafts5.GetDraftIntent,Get Draft in Drafts 5,action_external_app,,,,,
com.agiletortoise.Drafts5.RunActionIntent,Run Action in Drafts 5,action_external_app,,,,,
com.omz-software.Pythonista3.PA3RunScriptIntent,Run Script in Pythonista 3,action_external_app,,,,,
com.atow.LaunchCuts.GetFoldersIntent,Get Folders in LaunchCuts,action_external_app,,,,,
com.atow.LaunchCuts.GetFolderIntent,Get Folder in LaunchCuts,action_external_app,,,,,
com.culturedcode.ThingsiPhone.TAIAddTodo2,Add ToDo on Things 3,action_external_app,,,,,
is.workflow.actions.silenceunknowncallers.set,Set Silence Unknown Callers,action_slientcaller,,,,1.0,
com.TickTick.task.TTAddTaskToCalendarIntent,Add Task to Calendar in TickTick,action_external_app,,,,,
com.agiletortoise.Drafts5.CaptureIntent,Capture in Drafts 5,action_external_app,,,,,
