Action,Function
AsheKube.app.a-Shell.ExecuteCommandIntent,action_external_app
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXSetSoundDetectorIntent,action_setting_recognized_sound
com.sindresorhus.Actions.WaitMilliseconds,action_external_app
com.sindresorhus.Actions.IsAudioPlayingIntent,action_external_app
com.apple.DocumentsApp.ScanDocument,action_scan_doc
com.sindresorhus.Actions.ScanDocumentsIntent,action_external_app
com.sindresorhus.Actions.GetEmojisIntent,action_external_app
com.sindresorhus.Actions.SetUniformTypeIdentifier,action_external_app
com.sindresorhus.Actions.GetUniformTypeIdentifierIntent,action_external_app
com.apple.shortcuts.AddShortcutToHomeScreenAction,action_add_workflow_to_screen
com.omnigroup.OmniFocus3.iOS.AddTaskIntent,action_external_app
AsheKube.app.a-Shell-mini.PutFileIntent,action_external_app
AsheKube.app.a-Shell-mini.ExecuteCommandIntent,action_external_app
AsheKube.app.a-Shell-mini.GetFileIntent,action_external_app
com.apple.Numbers.TNiOSAddValuesToFormIntent,action_external_app
com.brogrammers.charty.AddCustomThemeIntent,action_external_app
dk.simonbs.DataJar.InsertValueInArrayIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.HomeIntent,action_external_app
com.bloombuilt.dayone-ios.FindEntriesIntent,action_external_app
com.bloombuilt.dayone-ios.AppendToEntryIntent,action_external_app
is.workflow.actions.dropbox.savefile,action_external_app
com.flexibits.fantastical2.addevent,action_external_app
net.shinyfrog.bear-IOS.add,action_external_app
is.workflow.actions.instapaper.add,action_external_app
ai.perplexity.app.QueryPerplexity,action_external_app
com.apple.Numbers.TNiOSAddValuesToSpreadsheetIntent,action_external_app
dk.simonbs.DataJar.GetKeysIntent,action_external_app
dk.simonbs.DataJar.ViewValueIntent,action_external_app
dk.simonbs.DataJar.GetTypeOfValueIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.QuickMenu2Intent,action_external_app
com.bloombuilt.dayone-ios.CreateEntryIntent,action_external_app
com.sindresorhus.Actions.CreateMenuItem,action_external_app
is.workflow.actions.evernote.new,action_external_app
com.apple.clock.DeleteAlarmIntent,action_delete_alarm
com.alexhay.ToolboxProForShortcuts.ReverseListIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.IsPremiumUnlockedIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.AddToListIntent,action_external_app
ke.bou.WidgetPack.ImageFileIntent,action_external_app
ke.bou.WidgetPack.ModifierClipShapeIntent,action_external_app
ke.bou.WidgetPack.ModifierScaledToFitIntent,action_external_app
ke.bou.WidgetPack.ZStackIntent,action_external_app
ke.bou.WidgetPack.UpdateWidgetIntent,action_external_app
com.alipay.iphoneclient.StartScanIntent,action_external_app
com.alipay.iphoneclient.StartPayIntent,action_external_app
is.workflow.actions.getclassaction,action_get_object_ofclass
com.juniperphoton.MyerList.AddReminderAppIntent,action_external_app
com.juniperphoton.MyerList.EndLiveActivityIntent,action_external_app
app.surfed.app.OpenURLIntent,action_external_app
com.bloombuilt.dayone-mac.CreateEntryIntent,action_external_app
com.sindresorhus.Actions.GlobalVariableSetNumber,action_external_app
com.sindresorhus.Actions.GlobalVariableGetNumber,action_external_app
com.sindresorhus.Actions.GetIndexOfListItem,action_external_app
com.sindresorhus.Actions.HideShortcutsAppIntent,action_external_app
com.sindresorhus.Actions.PrettyPrintDictionariesIntent,action_external_app
com.sindresorhus.Actions.AddToListIntent,action_external_app
dk.simonbs.DataJar.DeleteValueIntent,action_external_app
com.sindresorhus.Actions.DateToUnixTimeIntent,action_external_app
com.sindresorhus.Actions.RemoveDuplicatesFromListIntent,action_external_app
dk.simonbs.DataJar.GetChildCountIntent,action_external_app
com.sindresorhus.Actions.FilterListIntent,action_external_app
ke.bou.WidgetPack.ColorIntent,action_external_app
ke.bou.WidgetPack.VerbatimTextIntent,action_external_app
ke.bou.WidgetPack.ModifierFontIntent,action_external_app
ke.bou.WidgetPack.HorizontalStackIntent,action_external_app
ke.bou.WidgetPack.ModifierFixedFrameIntent,action_external_app
ke.bou.WidgetPack.SpacerIntent,action_external_app
ke.bou.WidgetPack.FontIntent,action_external_app
ke.bou.WidgetPack.ModifierPaddingIntent,action_external_app
ke.bou.WidgetPack.LinkIntent,action_external_app
ke.bou.WidgetPack.VerticalStackIntent,action_external_app
ke.bou.WidgetPack.ModifierBackgroundIntent,action_external_app
ke.bou.WidgetPack.PreviewWidgetIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CreateMenuIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.HapticFeedbackIntent,action_external_app
com.apple.NanoSettings.NPRFSetAlwaysOnIntent,action_external_app
com.apple.NanoSettings.NPRFSetSilentModeIntent,action_external_app
com.apple.PBBridgeSupport.BridgeIntents.COSSetGizmoFaceIntent,action_external_app
DesignTech-SIA.Spendit.AI_AddTransactionIntent,action_external_app
DesignTech-SIA.Spendit.AI_ViewAccountIntent,action_external_app
com.sindresorhus.Actions.GetUnsplashImageIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.BlurImagesIntent,action_external_app
com.google.chrome.ios.OpenInChromeIncognitoIntent,action_external_app
com.apple.news.TodayIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.IsAudioPlayingIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CheckForUpdatesIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.ShowNotificationIntent,action_external_app
is.workflow.actions.properties.workflow,action_properties_appstore
is.workflow.actions.runjavascriptforautomation,action_decayed_action
com.alexhay.ToolboxProForShortcuts.CheckGVIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetReminderListsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetReminderIDIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.EditReminderIntent,action_external_app
maccatalyst.com.Christopher-Hannah.Text-Case.TextCaseIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CreateIconIntent,action_external_app
net.shinyfrog.bear-IOS.open,action_external_app
net.shinyfrog.bear-IOS.contents,action_external_app
ke.bou.GizmoPack.UniversalVariablesIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.ScanDocumentIntent,action_external_app
io.pushcut.Pushcut.ShowNotificationIntent,action_external_app
com.culturedcode.ThingsiPad.TAIItemEntity,action_external_app
com.culturedcode.ThingsiPad.TAIEditItems,action_external_app
com.culturedcode.ThingsiPad.TAIAddTodo2,action_external_app
com.sindresorhus.Actions.RandomTextIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CreateTextImageIntent,action_external_app
com.sindresorhus.Actions.FormatDurationIntent,action_external_app
com.apple.shortcuts.CreateShortcutiCloudLinkAction,action_create_icloudlink
com.brogrammers.charty.NewChartIntent,action_external_app
com.brogrammers.charty.AddSeriesToChartIntent,action_external_app
com.brogrammers.charty.CopyChartToClipboardIntent,action_external_app
org.fastdevsproject.altervista.Device-Monitor.RAMCleanIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.EditFolderBookmarksIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.ListContentsOfBookmarkedFolderIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.EditBookmarkedFileIntent,action_external_app
com.sindresorhus.Actions.GenerateCSVIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.SaveFilesToBookmarkedFoldersIntent,action_external_app
com.sindresorhus.Actions.RemoveEmptyLinesIntent,action_external_app
app.shortcutify.Shortcutify.SpotifyPlayPauseIntent,action_external_app
com.sindresorhus.Actions.GlobalVariableGetText,action_external_app
com.sindresorhus.Actions.GlobalVariableSetText,action_external_app
com.sindresorhus.Actions.RemoveFromListIntent,action_external_app
com.sindresorhus.Actions.ScanQRCodesInImageIntent,action_external_app
com.agiletortoise.Drafts5.QueryDraftsIntent,action_external_app
com.agiletortoise.Drafts5.GetDraftIntent,action_external_app
com.agiletortoise.Drafts5.RunActionIntent,action_external_app
com.omz-software.Pythonista3.PA3RunScriptIntent,action_external_app
com.atow.LaunchCuts.GetFoldersIntent,action_external_app
com.atow.LaunchCuts.GetFolderIntent,action_external_app
com.culturedcode.ThingsiPhone.TAIAddTodo2,action_external_app
is.workflow.actions.silenceunknowncallers.set,action_slientcaller
com.TickTick.task.TTAddTaskToCalendarIntent,action_external_app
com.agiletortoise.Drafts5.CaptureIntent,action_external_app
com.agiletortoise.Drafts-OSX.CaptureIntent,action_external_app
com.google.OPA.OPAAskGoogleIntent,action_external_app
com.grailr.CARROTweather.CurrentForecastIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.BookmarkFolderIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.RemoveItemsFromListIntent,action_external_app
com.sindresorhus.Actions.SetFileCreationModificationDateIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetCalendarsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CreateCalendarIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetAudioIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetEventIDIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.EditEventIntent,action_external_app
com.sindresorhus.Actions.RandomDateTimeIntent,action_external_app
com.flexibits.fantastical2.iphone.FKRCreateFromInputIntent,action_external_app
com.culturedcode.ThingsiPad.TAIDeleteItems,action_external_app
com.alexhay.Console.LogMessageIntent,action_external_app
com.iconfactory.TotMobile.QueryDotIntent,action_external_app
com.iconfactory.TotMobile.SetDotIntent,action_external_app
com.sindresorhus.Actions.AskForText,action_external_app
org.joinmastodon.app.SendPostIntent,action_external_app
is.workflow.actions.dropbox.appendfile,action_external_app
com.google.chrome.ios.SearchInChromeIntent,action_external_app
com.zlineman.Jellyfish.ImportShortcutIntent,action_external_app
com.apple.mobilesafari.CreateNewPrivateTab,action_create_private_tab
com.feelthemusi.musi.MPlayMyFavoritesIntent,action_external_app
com.feelthemusi.musi.MSearchIntent,action_external_app
com.apple.ShortcutsActions.CellularPlanEntity,action_filter_cellular
com.apple.ShortcutsActions.SetDefaultCellularPlanAction,action_set_default_cellular
is.workflow.actions.getparentdirectory,action_decayed_action
com.brogrammers.charty.GetInfoAllChartsIntent,action_external_app
com.brogrammers.charty.DeleteChartIntent,action_external_app
com.brogrammers.charty.NewChartWithSeriesIntent,action_external_app
com.brogrammers.charty.StyleAxisIntent,action_external_app
com.brogrammers.charty.AddMovingAverageIntent,action_external_app
com.sindresorhus.Actions.TrimWhitespaceIntent,action_external_app
com.sindresorhus.Actions.ParseCSVIntent,action_external_app
com.sindresorhus.Actions.ReverseListIntent,action_external_app
com.brogrammers.charty.StyleLineSeriesIntent,action_external_app
is.workflow.actions.safari.geturl,action_decayed_action
com.apple.mobileslideshow.OpenCollectionIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GenerateUUIDIntent,action_external_app
com.omz-software.Pythonista.runscript,action_external_app
com.alexhay.ToolboxProForShortcuts.ConvertCurrencyIntent,action_external_app
com.brogrammers.charty.StyleChartIntent,action_external_app
com.brogrammers.charty.StyleScatterSeriesIntent,action_external_app
com.brogrammers.charty.GroupDataIntent,action_external_app
com.brogrammers.charty.ExportChartAsImageIntent,action_external_app
com.brogrammers.charty.UpdateWidgetsIntent,action_external_app
com.dayonelog.dayoneiphone.post,action_external_app
com.tantsissa.AutoSleep.ReadinessIntent,action_external_app
com.xvision.datamannext.ShowUsageIntent,action_external_app
com.fifteenjugglers.solarwatch.ComputeSolarEventTimeIntent,action_external_app
ch.marcela.ada.LibTerm.RunCommandIntent,action_external_app
com.sindresorhus.Actions.GlobalVariableDelete,action_external_app
com.sindresorhus.Actions.TranscribeAudioIntent,action_external_app
com.apple.shortcuts.TranscribeAudioAction,action_transcribe_audio
com.alexhay.ToolboxProForShortcuts.RecogniseSpeechIntent,action_external_app
com.apple.Numbers.TNiOSOpenAnyDocumentIntent,action_external_app
com.iconfactory.Tot.QueryDotIntent,action_external_app
com.iconfactory.Tot.AddToDotIntent,action_external_app
com.iconfactory.TotMobile.GetDotIntent,action_external_app
com.agiletortoise.Drafts5.OpenDraftIntent,action_external_app
com.iconfactory.Tot.ShowDotIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetPhotoAlbumsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.AddPhotoAlbumIntent,action_external_app
AsheKube.app.a-Shell.PutFileIntent,action_external_app
AsheKube.app.a-Shell.GetFileIntent,action_external_app
com.google.GoogleMobile.SearchImageWithLensIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CalculateWithSoulverIntent,action_external_app
com.agiletortoise.Drafts5.QueryWorkspaceIntent,action_external_app
co.supertop.Castro-2.GetNowPlayingEpisodeDetailsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetFilesFromBookmarkedFolderIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.DeleteFilesInBookmarkedFolderIntent,action_external_app
dk.simonbs.Jayson.ViewJSONIntent,action_external_app
dk.simonbs.Jayson.GetFileIntent,action_external_app
com.apple.Notes.CreateFolderLinkAction,action_external_app
com.alexhay.ToolboxProForShortcuts.DeleteFromDictionaryIntent,action_external_app
com.brogrammers.charty.AddAverageIntent,action_external_app
com.brogrammers.charty.StyleBarSeriesIntent,action_external_app
com.apple.mobilesafari.ReadingListItemEntity,action_filter_readinglist_item
dk.simonbs.Scriptable.RefreshAllWidgetsIntent,action_external_app
is.workflow.actions.cloudapp.upload,action_external_app
com.alexhay.ToolboxProForShortcuts.TagFilesIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GenerateThumbnailsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetFileURLIntent,action_external_app
com.culturedcode.ThingsMac.TAIItemEntity,action_external_app
com.culturedcode.ThingsMac.TAIAddTodo2,action_external_app
com.sindresorhus.Actions.GetFileIconIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.SearchForEmojiIntent,action_external_app
com.appliedphasor.working-copy.WriteFileIntent,action_external_app
com.appliedphasor.working-copy.CommitRepositoryIntent,action_external_app
com.appliedphasor.working-copy.PushRepositoryIntent,action_external_app
com.sindresorhus.Actions.GetTitleOfURLIntent,action_external_app
com.Christopher-Hannah.Text-Case.ReplaceIntent,action_external_app
com.minimasoftware.TimerPlus.StartQuickTimerIntent,action_external_app
com.apple.NanoSettings.NPRFSetWakeOnWristRaiseIntent,action_external_app
com.apple.NanoSettings.NPRFSetAutoLaunchAudioAppsIntent,action_external_app
com.apple.PBBridgeSupport.BridgeIntents.COSListGizmoFacesIntent,action_external_app
com.apple.PBBridgeSupport.BridgeIntents.COSGetCurrentGizmoFaceIntent,action_external_app
com.apple.AccessibilityUtilities.AXSettingsShortcuts.AXStartRemoteWatchScreenIntent,action_external_app
net.shinyfrog.bear-IOS.grab,action_external_app
com.ngocluu.goodlinks.GetCurrentLink,action_external_app
com.ngocluu.goodlinks.AddLinkIntent,action_external_app
com.ngocluu.goodlinks.GetCurrentSelection,action_external_app
com.ngocluu.goodlinks.LinkEntity,action_external_app
com.ngocluu.goodlinks.OpenLinkIntent,action_external_app
me.damir.dropover-mac.AddToShelfIntent,action_external_app
is.workflow.actions.file.reveal,action_decayed_action
app.cyan.taio.SaveClippingIntent,action_external_app
is.workflow.actions.properties.note,action_properties_images
is.workflow.actions.properties.shazam,action_properties_images
dk.simonbs.Jayson.PrettifyJSONIntent,action_external_app
com.elgato.eve.EVEMyCamerasIntent,action_external_app
com.anthopak.SmartLightsController.GetCurrentRoomsIntent,action_external_app
br.com.marcosatanaka.play.GetVideoIntent,action_external_app
com.Christopher-Hannah.Text-Case.TextCaseIntent,action_external_app
com.sindresorhus.Actions.ParseJSON5Intent,action_external_app
com.sindresorhus.Actions.SymbolImageIntent,action_external_app
is.workflow.actions.properties.itunesartist,action_properties_images
com.alexhay.ToolboxProForShortcuts.QuickMenuIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetMenuItemIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetTextFromImageIntent,action_external_app
net.shinyfrog.bear-iOS.SFSearchNotesIntent,action_external_app
net.shinyfrog.bear-iOS.SFAddToNoteIntent,action_external_app
net.shinyfrog.bear-iOS.SFCreateNoteIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetMovieDetailsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.DetectFacesIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.RecogniseObjectsInImageIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.RemoveEmojiIntent,action_external_app
com.obdura.playlistimport.MakePlaylistFromURLIntent,action_external_app
com.obdura.playlistimport.AllImportsFinishedIntent,action_external_app
com.apple.Notes.DeleteNotesLinkAction,action_external_app
com.agiletortoise.Drafts-OSX.OpenDraftIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CreateRemindersListIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.CreateReminderIntent,action_external_app
dk.simonbs.Scriptable.ParameterizedRunScriptIntent,action_external_app
com.pvieito.HomeBot.HomeBotGetHomeItemsIntent,action_external_app
com.pvieito.HomeBot.HomeBotRunHomeActionIntent,action_external_app
com.starbucks.mystarbucks.SBAOrderItemIntent,action_external_app
com.alexhay.ToolboxPro2.GenerateTextIntent,action_external_app
com.overdesigned.Cheatsheet.CSAddCheatIntent,action_external_app
com.zlineman.Jellyfish.ImportObjectsIntent,action_external_app
com.zlineman.Jellyfish.GrabJellycutIntent,action_external_app
com.7Z88K9GUU8.com.rileytestut.AltStore.RefreshAllIntent,action_external_app
com.openplanetsoftware.Just-Press-Record-for-iOS.StartRecordingIntent,action_external_app
com.bloombuilt.dayone-ios.ShowEntriesIntent,action_external_app
ke.bou.WidgetPack.TextIntent,action_external_app
ke.bou.WidgetPack.ImageIntent,action_external_app
ke.bou.WidgetPack.StackIntent,action_external_app
com.LennartBusch.Milage.TimeStampsIntent,action_external_app
com.LennartBusch.Milage.TripLastDistanceIntent,action_external_app
com.sindresorhus.One-Thing.SetTextIntent,action_external_app
is.workflow.actions.lightroom.import,action_external_app
com.agiletortoise.Drafts-OSX.QueryDraftsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.FilterListIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.RemoveDuplicatesIntent,action_external_app
com.sindresorhus.Aiko.TranscribeAudioIntent,action_external_app
com.culturedcode.ThingsiPhone.TAIItemEntity,action_external_app
com.culturedcode.ThingsiPhone.TAIShowItems2,action_external_app
com.alexhay.ToolboxProForShortcuts.SwitchCaseIntent,action_external_app
com.sindresorhus.Lock-Screen-One.SetTextIntent,action_external_app
com.rafaelsoh.dime.NewTransactionIntent,action_external_app
com.alexhay.Console.StartLoggingIntent,action_external_app
com.alexhay.Console.OutputMessagesIntent,action_external_app
com.alexhay.Console.ClearMessagesIntent,action_external_app
com.alexhay.Console.LogItemsIntent,action_external_app
in.muditbhargava.LookUp.FindCollectedWordsIntent,action_external_app
com.apple.mobilesafari.BookmarkEntity,action_bookmark_safari
ke.bou.GizmoPack.SnapshotMapIntent,action_external_app
com.iconfactory.TotMobile.AddToDotIntent,action_external_app
dk.simonbs.Retoot.CreateQuoteIntent,action_external_app
com.sindresorhus.Actions.RandomColorIntent,action_external_app
com.sindresorhus.Actions.OverwriteFile,action_external_app
net.shinyfrog.bear-IOS.search,action_external_app
com.culturedcode.ThingsiPhone.TAIEditItems,action_external_app
com.alexhay.ToolboxProForShortcuts.SmartMenuIntent,action_external_app
ke.bou.WidgetPack.ModifierRelativeFrameIntent,action_external_app
com.alexhay.MenuBox.ChooseMenuSetIntent,action_external_app
is.workflow.actions.quit.app,action_decayed_action
is.workflow.actions.startscreensaver,action_decayed_action
com.apple.mobilesafari.CreateNewTab,action_create_newtab
com.apple.mobilesafari.CreateNewTabGroup,action_create_new_tab_group
com.apple.mobilesafari.TabGroupEntity,action_filter_tabgroup
com.apple.mobilesafari.OpenTabGroup,action_open_tabgroup
com.apple.mobilesafari.OpenTab,action_opentab_safari
com.apple.mobilesafari.OpenBookmark,action_open_bookmark
in.muditbhargava.LookUp.ClipboardSearchIntent,action_external_app
com.sindresorhus.Actions.Boolean,action_external_app
com.sindresorhus.Actions.IsAccessibilityFeatureOn,action_external_app
com.microsoft.bing.OpenRewardsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.FindMoviesIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.FindMovies2Intent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetMovieDetails2Intent,action_external_app
com.sindresorhus.Actions.CalculateWithSoulver,action_external_app
com.sindresorhus.Actions.MusicPlaylist_AppEntity,action_external_app
br.com.marcosatanaka.musicbox.GetMusicIntent,action_external_app
br.com.marcosatanaka.music-harbor.ArtistAppEntity,action_external_app
com.skype.skype.call,action_external_app
com.appliedphasor.working-copy.CloneRepositoryIntent,action_external_app
com.sindresorhus.Actions.Authenticate2,action_external_app
com.alexhay.ToolboxProForShortcuts.GetLocationFromCoordsIntent,action_external_app
co.bergen.Darkroom.HSLExportWithDarkroomIntent,action_external_app
com.omnigroup.OmniFocus3.iOS.AddTaskPaperIntent,action_external_app
ke.bou.WidgetPack.SetPropertyIntent,action_external_app
ke.bou.WidgetPack.GradientIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.ScanNFCIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetTextFromImagesIAIHIntent,action_external_app
nl.jeffreykuiken.NoirApp.SetEnabledForSiteIntent,action_external_app
nl.jeffreykuiken.NoirApp.SetImageDimmingForSiteIntent,action_external_app
com.alexhay.nautomate.ChooseIntegrationIntent,action_external_app
com.alexhay.nautomate.FindPagesIntent,action_external_app
com.alexhay.nautomate.GetTextFromPageIntent,action_external_app
ke.bou.WidgetPack.ModifierScaledToFillIntent,action_external_app
com.omnigroup.OmniFocus4.AddTaskIntent,action_external_app
com.apple.iBooks.SearchBooksIntent,action_external_app
com.omnigroup.OmniFocus4.FindProjectsIntent,action_external_app
com.omnigroup.OmniFocus4.ShowFromChoiceIntent,action_external_app
com.omnigroup.OmniFocus4.AddTaskPaperIntent,action_external_app
com.omnigroup.OmniFocus3.iOS.FindProjectsIntent,action_external_app
com.omnigroup.OmniFocus3.iOS.ShowFromChoiceIntent,action_external_app
com.apple.Numbers.TSADocumentOpenIntent,action_external_app
fm.overcast.overcast.OCCurrentEpisodeInfoIntent,action_external_app
com.culturedcode.ThingsiPad.TINAddTodoIntent,action_external_app
com.wiheads.paste.GetItemAtIndexIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.ResizeImageExtendedIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.FilterImageIntent,action_external_app
is.workflow.actions.wordpress.post,action_external_app
is.workflow.actions.trello.add.list,action_external_app
is.workflow.actions.trello.add.board,action_external_app
com.sindresorhus.Actions.FormatDateDifferenceIntent,action_external_app
com.agiletortoise.Drafts5.SetDraftIntent,action_external_app
fm.overcast.overcast.OCPlayIntent,action_external_app
com.omnigroup.OmniFocus3.iOS.FindTasksIntent,action_external_app
is.workflow.actions.tumblr.post,action_external_app
com.alexhay.ToolboxProForShortcuts.GetTBPToolsIntent,action_external_app
com.appliedphasor.working-copy.PullRepositoryIntent,action_external_app
com.sindresorhus.Actions.GetFilePathIntent,action_external_app
ch.marcela.ada.Pyto.RunCodeIntent,action_external_app
ke.bou.WidgetPack.ModifierForegroundColorIntent,action_external_app
com.getcardpointers.app.ShortcutsOfferEntity,action_external_app
com.alexhay.ToolboxProForShortcuts.PrettyPrintIntent,action_external_app
is.workflow.actions.filter.windows,action_decayed_action
is.workflow.actions.resizewindow,action_decayed_action
net.shinyfrog.bear.SFCreateNoteIntent,action_external_app
net.shinyfrog.bear-iOS.SFAddTagsToNoteIntent,action_external_app
com.sindresorhus.Actions.GetUserDetailsIntent,action_external_app
com.meal.plan.ios.GetRecipeFromURLIntent,action_external_app
com.orange.telephone.IdentifyPhoneNumber,action_external_app
com.culturedcode.ThingsiPhone.TINAddTodoIntent,action_external_app
com.sindresorhus.Actions.GetRunningAppsIntent,action_external_app
com.sindresorhus.Actions.SortListIntent,action_external_app
com.agiletortoise.Drafts4.addto,action_external_app
com.alexhay.ToolboxProForShortcuts.FindArtistsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.FindAlbumsIntent,action_external_app
com.apple.iBooks.BookReaderNavigatePagesIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.FindTvShowsIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetTvShowDetailsIntent,action_external_app
is.workflow.actions.display.always-on.set,action_decayed_action
com.alexhay.ToolboxProForShortcuts.BookmarkFileIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.EditPendingNotificationsIntent,action_external_app
com.microsoft.to-do.WLAddTaskIntent,action_external_app
ke.bou.WidgetPack.SFSymbolIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.QuickMatchTextIntent,action_external_app
com.sindresorhus.Actions.IsDeviceOrientationIntent,action_external_app
com.apple.mobilesafari.OpenView,action_open_safariview
com.alexhay.ToolboxProForShortcuts.DetectFacesIAIHIntent,action_external_app
com.apple.shortcuts.OpenNavigationDestinationAction,action_decayed_action
com.omz-software.Pythonista.editscript,action_external_app
com.alexhay.ToolboxProForShortcuts.FindPexelPhotosIntent,action_external_app
com.reederapp.5.macOS.GetReadLaterIntent,action_external_app
com.reederapp.5.macOS.OpenReadLaterIntent,action_external_app
ke.bou.GizmoPack.CreateWalletPassIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetW3WIntent,action_external_app
art.splashy.GetSplashyWallpaperIntent,action_external_app
com.sindresorhus.Actions.GetDominantColorsOfImage,action_external_app
com.sindresorhus.Actions.GenerateUUIDIntent,action_external_app
com.SideStore.SideStore.ZFY6868JV7.RefreshAllIntent,action_external_app
com.SideStore.SideStore.G44P446W92.RefreshAllIntent,action_external_app
com.P4N4J84A3M.com.rileytestut.AltStore.ViewAppIntent,action_external_app
com.P4N4J84A3M.com.rileytestut.AltStore.RefreshAllIntent,action_external_app
co.zottmann.ActionsForObsidian.CheckForNotes,action_external_app
co.zottmann.ActionsForObsidian.CheckForNote,action_external_app
co.zottmann.ActionsForObsidian.AppendNote,action_external_app
co.zottmann.ActionsForObsidian.CreateNote,action_external_app
com.tantsissa.AutoSleep.SleepRingsIntent,action_external_app
com.lexwarelabs.goodmorning.SleepIntent,action_external_app
is.workflow.actions.hide.app,action_decayed_action
in.muditbhargava.LookUp.AddToCollectionIntent,action_external_app
com.jonny.spring.KJYGetTweetIntent,action_external_app
ke.bou.WidgetPack.ModifierMinimumScaleFactorIntent,action_external_app
fm.overcast.overcast.add,action_external_app
com.alexhay.ToolboxProForShortcuts.GetSymbolNameIntent,action_external_app
org.fastdevsproject.altervista.Device-Monitor.CPUChartIntent,action_external_app
org.fastdevsproject.altervista.Device-Monitor.RAMChartIntent,action_external_app
org.fastdevsproject.altervista.Device-Monitor.RAMDepthCleanIntent,action_external_app
com.openai.chat.OpenVoiceModeIntent,action_external_app
com.apple.iBooks.BookReaderChangeThemeIntent,action_external_app
com.apple.iBooks.BookReaderChangePageNavigationIntent,action_external_app
is.workflow.actions.evernote.getlink,action_external_app
is.workflow.actions.movewindow,action_decayed_action
com.pcalc.mobile.CalcSetRegisterWithValueIntent,action_external_app
com.pcalc.mobile.CalcRunFunctionWithOneParameterIntent,action_external_app
com.pcalc.mobile.CalcRunFunctionWithTwoParametersIntent,action_external_app
com.culturedcode.ThingsMac.TINRunThingsURLIntent,action_external_app
com.apple.AccessibilityUIServer.ToggleMusicHapticsIntent,action_external_app
com.iconfactory.Tot.GetDotIntent,action_external_app
ke.bou.WidgetPack.ModifierShadowIntent,action_external_app
com.alexhay.ToolboxProForShortcuts.GetLocationFromTextIntent,action_external_app
com.shi.AviaryApp.PostTweetIntent,action_external_app
com.twidere.TwidereX.PublishPostIntent,action_external_app
